bump_region_mse,detail_amplitude,detail_amplitude_error,detail_component_relative_mse,elapsed_seconds,flat_region_mse,gradient_rounding_cosine,gradient_rounding_mse,gradient_zeroed_fraction,initial_calibration_seconds,mode,outside_bump_mse,relative_to_constant_mse,reselection_seconds,seed,selection_seconds,step,target,target_variance,total_gradient_cosine,total_gradient_mse,training_loss,transition_mse,validation_mse,weight_rounding_gradient_cosine,weight_rounding_output_mse
,,,,8.46111241588369,,0.9988862754744242,3.255421746946526e-10,0.0,0.0,fixed-e5m2,,0.0006723173326454294,0.0,1,0.0,2000,kink,0.11517699807882309,0.6755654813767774,9.529655922646702e-07,0.00010021005437010899,8.363725646631792e-05,7.743549213046208e-05,0.6700395203875771,0.00038676103577017784
,,,,8.60601079207845,,0.9984648946844762,1.0540057429174632e-10,0.0,0.0,fixed-hybrid,,2.2471625170407645e-05,0.0,1,0.0,2000,kink,0.11517699807882309,-0.5643097291850616,1.5619675693689508e-06,1.8956905478262343e-05,7.1808808570494875e-06,2.588214329080074e-06,-0.5615521710854318,0.0004491320869419724
,,,,8.73936808318831,,0.999909125383076,2.0322848670755608e-11,0.010641627543035994,0.005735999904572964,calibrated,,0.0003375007863646552,0.0,1,0.005735999904572964,2000,kink,0.11517699807882309,0.9372683857403867,1.4439764163362478e-08,3.0076536859269254e-05,2.641459650476463e-05,3.8872327422723174e-05,0.9378475908324433,1.278594027098734e-05
,,,,8.939786541974172,,0.999909125383076,2.0322848670755608e-11,0.010641627543035994,0.005735999904572964,adaptive,,0.0003375007863646552,0.10041803657077253,1,0.10615403647534549,2000,kink,0.11517699807882309,0.9109110375813875,1.931504463292644e-08,3.0076536859269254e-05,2.641459650476463e-05,3.8872327422723174e-05,0.9115703698306682,1.6295045497827232e-05
,,,,1.3768567079678178,1.553812762722373e-05,0.9999999999999993,0.0,0.0,0.0,fp32,,2.3183413873657552e-05,0.0,1,0.0,2000,plateau,0.8359577059745789,0.9999999999999993,0.0,2.8163442038930953e-05,3.550541805452667e-05,1.9380353478481993e-05,0.9999999999999993,0.0
,,,,8.559460999909788,2.4289027351187542e-05,0.9996813655381882,1.5153290120691042e-10,0.00020865936358894105,0.0,fixed-e4m3,,3.9083434580980426e-05,0.0,1,0.0,2000,plateau,0.8359577059745789,0.9331761929191762,1.163066969738842e-05,3.5484936233842745e-05,6.785419100197032e-05,3.2672098313923925e-05,0.933979758512559,0.0013208773452788591
,,,,8.444096375023946,1.877891736512538e-05,0.9987163900062167,9.291081322680423e-11,0.0,0.0,fixed-e5m2,,3.445621364082003e-05,0.0,1,0.0,2000,plateau,0.8359577059745789,0.018528848189205856,2.4450334431725854e-05,1.4924538845662028e-05,7.087695121299475e-05,2.8803937311749905e-05,0.02132310003952262,0.003785987151786685
,,,,8.662393833976239,8.59635038068518e-05,0.99867946734893,3.5387618009664873e-10,0.0,0.0,fixed-hybrid,,0.00010020311719142322,0.0,1,0.0,2000,plateau,0.8359577059745789,0.005374396355851882,4.2670070956673146e-06,2.776872497634031e-05,7.454126898664981e-05,8.376556797884405e-05,0.012986018374580239,0.0006222599186003208
,,,,8.573360583977774,5.010155291529372e-05,0.9999135518110114,1.0145421984969348e-11,0.017527386541471048,0.005715582985430956,calibrated,,7.146840641733014e-05,0.0,1,0.005715582985430956,2000,plateau,0.8359577059745789,0.906703804635478,7.792155236195831e-07,2.331619725737255e-05,0.00010021437628893182,5.974456507829018e-05,0.9070396969864004,0.00019388116197660565
,,,,9.019149624975398,5.010155291529372e-05,0.9999053368127022,1.1129794621696536e-11,0.017527386541471048,0.005715582985430956,adaptive,,7.146840641733014e-05,0.09787858626805246,1,0.10359416925348341,2000,plateau,0.8359577059745789,0.906373239762951,7.839854247077153e-07,2.331619725737255e-05,0.00010021437628893182,5.974456507829018e-05,0.9065199177657741,0.00019465612422209233
