family,input_abs_max,input_p01,input_p50,input_p99,mean_abs_slope,mode,near_zero_fraction,negative_fraction,nonlinear_output_mse,relu_gate_flip_fraction,seed,small_slope_fraction,step,target
silu,1.2537336349487305,-0.7708904345830282,-0.017941658695538838,0.7663929065068563,0.49718480308850604,fixed-hybrid,0.2880859375,0.523681640625,5.211270763538778e-05,,0,4.0690104166666664e-05,0,plateau
relu,3.3443729877471924,-1.4015804926554363,0.044521006445089974,1.8295574982961018,0.5164388020833334,fixed-hybrid,0.1068115234375,0.4835611979166667,0.00017359789004937434,0.005818684895833333,0,0.4835611979166667,2000,plateau
tanh,6.905718803405762,-1.8994784951210022,0.033864121263225876,2.0498478015263877,0.8159389495849609,fixed-hybrid,0.16646321614583334,0.4687093098958333,0.0001748792080131049,,0,0.010335286458333334,2000,plateau
silu,3.761981725692749,-1.2660215894381206,0.002796271195014318,1.3294478456179302,0.5134273370107015,fixed-hybrid,0.23095703125,0.4945882161458333,8.337832756903178e-05,,0,0.0018310546875,2000,plateau
relu,1.2152163982391357,-0.698280950387319,0.05594719325502714,0.898814857006073,0.5660400390625,calibrated,0.19303385416666666,0.4339599609375,2.7639060135697946e-05,0.003946940104166667,0,0.4339599609375,0,plateau
tanh,1.6467512845993042,-0.7605118552843729,0.026407518424093723,0.7877863248189291,0.9122108221054077,calibrated,0.25927734375,0.4596761067708333,3.0363418166719686e-05,,0,0.0,0,plateau
silu,1.2335320711135864,-0.7734456857045492,-0.015188984340056777,0.7721338073412577,0.497859259446462,calibrated,0.2852783203125,0.51904296875,1.1448596827297782e-05,,0,0.0,0,plateau
relu,3.428729772567749,-1.3945156931877136,0.033355556428432465,1.8053340514500935,0.513427734375,calibrated,0.1075439453125,0.486572265625,2.7708674072831247e-05,0.0024820963541666665,0,0.486572265625,2000,plateau
tanh,6.758777141571045,-1.8578910827636719,0.031202534213662148,2.0167693893114724,0.8181897203127543,calibrated,0.17447916666666666,0.4709065755208333,4.0269014183043815e-05,,0,0.0093994140625,2000,plateau
silu,3.6650450229644775,-1.2184038162231445,0.007817463328440985,1.3203128178914387,0.5132696529229482,calibrated,0.22847493489583334,0.4842122395833333,2.5543506429433666e-05,,0,0.0021565755208333335,2000,plateau
relu,1.2152163982391357,-0.698280950387319,0.05594719325502714,0.898814857006073,0.5660400390625,adaptive,0.19303385416666666,0.4339599609375,2.7639060135697946e-05,0.003946940104166667,0,0.4339599609375,0,plateau
tanh,1.6467512845993042,-0.7605118552843729,0.026407518424093723,0.7877863248189291,0.9122108221054077,adaptive,0.25927734375,0.4596761067708333,3.0363418166719686e-05,,0,0.0,0,plateau
silu,1.2335320711135864,-0.7734456857045492,-0.015188984340056777,0.7721338073412577,0.497859259446462,adaptive,0.2852783203125,0.51904296875,1.1448596827297782e-05,,0,0.0,0,plateau
relu,3.428729772567749,-1.3945156931877136,0.033355556428432465,1.8053340514500935,0.513427734375,adaptive,0.1075439453125,0.486572265625,2.7708674072831247e-05,0.0024820963541666665,0,0.486572265625,2000,plateau
tanh,6.758777141571045,-1.8578910827636719,0.031202534213662148,2.0167693893114724,0.8181897203127543,adaptive,0.17447916666666666,0.4709065755208333,4.0269014183043815e-05,,0,0.0093994140625,2000,plateau
silu,3.6650450229644775,-1.2184038162231445,0.007817463328440985,1.3203128178914387,0.5132696529229482,adaptive,0.22847493489583334,0.4842122395833333,2.5543506429433666e-05,,0,0.0021565755208333335,2000,plateau
relu,1.3417760133743286,-0.7056329250335693,0.012073040008544922,0.8471782406171163,0.5298258463541666,fp32,0.2391357421875,0.4701741536458333,0.0,0.0,0,0.4701741536458333,0,detail
tanh,1.2565504312515259,-0.6313043634096781,0.0214163800701499,0.7032369573911031,0.9349034031232198,fp32,0.3374430338541667,0.4634195963541667,0.0,,0,0.0,0,detail
silu,1.0698370933532715,-0.5840969781080881,-0.0070510512838761015,0.6753021478652954,0.4999980727831523,fp32,0.3074137369791667,0.511474609375,0.0,,0,0.0,0,detail
relu,6.6100029945373535,-4.270288070042928,-0.06404464443524678,3.0308980147043862,0.4642740885416667,fp32,0.07625325520833333,0.5357259114583334,0.0,0.0,0,0.5357259114583334,2000,detail
tanh,6.346420764923096,-2.8679927587509155,-0.001173112541437149,3.7395970821380615,0.7390820582707723,fp32,0.1568603515625,0.5074462890625,0.0,,0,0.0283203125,2000,detail
silu,4.852210998535156,-2.826633115609487,-0.0290832482278347,1.8449082374572754,0.4924194614092509,fp32,0.1361083984375,0.5041910807291666,0.0,,0,0.0054931640625,2000,detail
relu,1.351654052734375,-0.7058906753857931,0.01085473969578743,0.8530321518580118,0.5277913411458334,fixed-e4m3,0.23722330729166666,0.4722086588541667,6.367215974023566e-05,0.010579427083333334,0,0.4722086588541667,0,detail
tanh,1.273220419883728,-0.6308586398760477,0.021112201424936455,0.7027858893076578,0.9355557759602865,fixed-e4m3,0.3371988932291667,0.4611002604166667,0.00014933467900846153,,0,0.0,0,detail
